tissue	nes	l95	u95
Cells_Cultured_fibroblasts	0.285071031291352	0.233106386437363	0.33703567614534
Esophagus_Muscularis	0.262916033229279	0.202050273761151	0.323781792697406
Cells_EBV-transformed_lymphocytes	0.240016807844803	0.0386144294206134	0.441419186268993
Artery_Tibial	0.235794191882661	0.182526324071155	0.289062059694168
Minor_Salivary_Gland	0.222505988067092	0.0968845757268393	0.348127400407345
Uterus	0.218756880495311	0.100307110355773	0.337206650634849
Esophagus_Gastroesophageal_Junction	0.205678458878003	0.13511723750928	0.276239680246726
Pancreas	0.163132631144948	0.0886494057104143	0.237615856579482
Colon_Sigmoid	0.162471317739001	0.095079849444084	0.229862786033918
Artery_Aorta	0.153560569127147	0.0870452911469678	0.220075847107326
Nerve_Tibial	0.151302913088718	0.113346348654297	0.189259477523138
Brain_Spinal_cord_cervical_c-1	0.145699730469448	0.033798185779312	0.257601275159584
Prostate	0.134343520803579	0.0655387917954166	0.203148249811741
Testis	0.130493517984063	0.0843937680323403	0.176593267935785
Breast_Mammary_Tissue	0.126451714297565	0.0797097511095658	0.173193677485564
Lung	0.12639477341518	0.0765748858142934	0.176214661016066
Thyroid	0.121042330470974	0.072744566558751	0.169340094383197
Muscle_Skeletal	0.119434999247154	0.0720670739505039	0.166802924543805
Pituitary	0.117579925236817	0.0220348468064634	0.21312500366717
Adrenal_Gland	0.113316351797872	0.0150788726931153	0.211553830902628
Brain_Amygdala	0.111699030945563	0.0115249264993394	0.211873135391787
Liver	0.111344399134217	0.0204769043058913	0.202211893962543
Esophagus_Mucosa	0.107988882924888	0.0554957827279994	0.160481983121776
Vagina	0.105120860585803	-0.0369006806824296	0.247142401854037
Adipose_Subcutaneous	0.0964263874307287	0.0493740864441021	0.143478688417355
Heart_Left_Ventricle	0.085785435164645	0.0356223159164435	0.135948554412846
Skin_Sun_Exposed_Lower_leg	0.0853961393424432	0.0454622238491326	0.125330054835754
Spleen	0.0853205178547843	0.0131684481492479	0.157472587560321
Adipose_Visceral_Omentum	0.0796850687354961	0.0234095675329998	0.135960569937992
Stomach	0.0795452139366554	0.0268375205364259	0.132252907336885
Heart_Atrial_Appendage	0.0794460169257634	0.0191991708844255	0.139692862967102
Brain_Nucleus_accumbens_basal_ganglia	0.0765159589937645	0.0205676341076765	0.132464283879853
Skin_Not_Sun_Exposed_Suprapubic	0.0751775485688585	0.0325226460802622	0.117832451057455
Artery_Coronary	0.0720730717234486	-0.0223816147822629	0.16652775822916
Brain_Putamen_basal_ganglia	0.0702037125443723	-0.00960870797094809	0.150016133059692
Brain_Cortex	0.0693438053240713	-0.00596392009154822	0.144651530739691
Small_Intestine_Terminal_Ileum	0.0690658938595177	-0.00710862362835687	0.145240411347392
Brain_Substantia_nigra	0.0664180429323227	-0.0571713910646129	0.190007476929258
Brain_Caudate_basal_ganglia	0.0656812079350016	-0.0159734639035284	0.147335879773532
Brain_Anterior_cingulate_cortex_BA24	0.0650652474423929	-0.0319994093192847	0.162129904204071
Kidney_Cortex	0.0633448336240822	-0.174201619012512	0.300891286260676
Colon_Transverse	0.056423519525738	0.018317757991914	0.0945292810595621
Brain_Frontal_Cortex_BA9	0.048485361143537	-0.0331393537970815	0.130110076084155
Brain_Hypothalamus	0.0342009915750819	-0.047368508690954	0.115770491841118
Brain_Hippocampus	0.0305955348609674	-0.0433001046217168	0.104491174343652
Ovary	0.0231311845579815	-0.0802255955454611	0.126487964661424
Whole_Blood	0.0180881204080689	-0.0205368940228909	0.056713134839029
Brain_Cerebellar_Hemisphere	-0.0365865148581655	-0.1630739360838	0.0899009063674692
Brain_Cerebellum	-0.0890394567485293	-0.207915084750537	0.0298361712534789
