Tissue,Samples,NES,p-value,m-value
Testis,322,0.0997,1.70E-05,0
Colon - Sigmoid,318,0.0854,0.01,0
Kidney - Cortex,73,0.084,0.5,0
Pancreas,305,0.0804,0.03,0
Uterus,129,0.0666,0.3,0
Heart - Left Ventricle,386,0.0568,0.02,0
Heart - Atrial Appendage,372,0.0491,0.1,0
Artery - Aorta,387,0.0384,0.2,0
Skin - Not Sun Exposed (Suprapubic),517,0.0322,0.1,0
Cells - Cultured fibroblasts,483,0.0234,0.4,0
Esophagus - Mucosa,497,0.0233,0.4,0
Small Intestine - Terminal Ileum,174,0.0228,0.5,0
Esophagus - Muscularis,465,0.0186,0.6,0
Whole Blood,670,0.0172,0.4,0
Lung,515,0.0162,0.5,0
Nerve - Tibial,532,0.013,0.5,0
Colon - Transverse,368,0.00902,0.6,0
Adipose - Visceral (Omentum),469,0.00855,0.7,0
Spleen,227,0.00781,0.8,0
Stomach,324,0.00774,0.8,0
Liver,208,0.00719,0.9,0
Brain - Caudate (basal ganglia),194,0.00656,0.9,0
Skin - Sun Exposed (Lower leg),605,0.00117,1,0
Artery - Tibial,584,-0.00103,1,0
Brain - Anterior cingulate cortex (BA24),147,-0.00164,1,0
Brain - Hippocampus,165,-0.00169,1,0
Breast - Mammary Tissue,396,-0.00356,0.9,0
Adipose - Subcutaneous,581,-0.00819,0.7,0
Vagina,141,-0.0132,0.8,0
Brain - Frontal Cortex (BA9),175,-0.0184,0.7,0
Esophagus - Gastroesophageal Junction,330,-0.0218,0.6,0
Minor Salivary Gland,144,-0.0235,0.7,0
Thyroid,574,-0.0246,0.3,0
Brain - Nucleus accumbens (basal ganglia),202,-0.0264,0.4,0
Brain - Substantia nigra,114,-0.031,0.6,0
Brain - Cortex,205,-0.0315,0.4,0
Brain - Amygdala,129,-0.0327,0.5,0
Prostate,221,-0.0432,0.2,0
Adrenal Gland,233,-0.0456,0.3,0
Artery - Coronary,213,-0.0522,0.3,0
Ovary,167,-0.0537,0.2,0
Brain - Putamen (basal ganglia),170,-0.0563,0.2,0
Brain - Spinal cord (cervical c-1),126,-0.0611,0.3,0
Brain - Hypothalamus,170,-0.0618,0.1,0
Cells - EBV-transformed lymphocytes,147,-0.125,0.2,0
Muscle - Skeletal,706,-0.127,7.00E-08,0
Pituitary,237,-0.128,0.005,0
Brain - Cerebellar Hemisphere,175,-0.56,1.60E-23,1
Brain - Cerebellum,209,-0.596,2.60E-29,1
