smtsd	n	spearman_r	spearman_p	lm_medage_annual_change	lm_medage_annual_change_l95	lm_medage_annual_change_u95	lm_medage_p	lm_sex_beta	lm_sex_diff_l95	lm_sex_diff_u95	lm_sex_p	lm_sex_diff	p_highlight	sex_p_highlight
Adipose - Subcutaneous	452	0.18741000945088	6.09935341984074e-05	0.00307621189565177	0.000460245947192517	0.00569901797381256	0.0216062160391302	NA	-0.00678190299920667	0.129355957446102	0.0804071875994437	0.0591018718192915		
Adipose - Visceral (Omentum)	435	0.216359163722648	5.27379490990591e-06	0.00122768033411136	-0.00175895725107067	0.00422325364091081	0.421287139908467	NA	-0.0562897339421989	0.102223605923197	0.619243444797567	0.0198920199712169		
Adrenal Gland	163	-0.0691484059431493	0.38044100484852	0.00185867509009863	-0.00429618128575748	0.008051577174222	0.55563047367886	NA	-0.176644616816127	0.100740286886786	0.507580679446486	-0.0480018693844003		
Artery - Aorta	281	0.0196038254317307	0.743526748099321	6.86386970643049e-05	-0.00205526631061848	0.0021970639675728	0.949592361052389	NA	-0.0843281711955741	0.0154083877229201	0.16863769856807	-0.0357485517928429		
Artery - Coronary	153	0.0584569307323895	0.472907360222252	0.00286456077481478	-0.00183603762710061	0.00758729544508796	0.234673972359808	NA	-0.0710952283567711	0.134711096165371	0.607027396765928	0.0266637968023087		
Artery - Tibial	456	0.139905647591536	0.00275250544039745	0.00264786619360025	0.000929685070385933	0.00436899672116975	0.00265557599314402	NA	-0.0747642473835737	0.0106083431406283	0.136582371743246	-0.0330196636093582		
Brain - Amygdala	118	-0.168790200313755	0.0676778805667252	-0.0160819804001797	-0.0295104657940477	-0.00246768752089577	0.022599817750285	NA	-0.147707370542222	0.448601782450686	0.437730730608971	0.111140235164815		
Brain - Anterior cingulate cortex (BA24)	141	-0.121453526922295	0.151384092454934	-0.00421604973878875	-0.0147341937794151	0.00641438009655504	0.436864936032935	NA	-0.164394124893885	0.31578509466298	0.682905296884457	0.0485598483050176		
Brain - Caudate (basal ganglia)	197	-0.0270027529525909	0.70642739757322	-0.0019996163450553	-0.0117714715889788	0.00786886549096	0.690555317054602	NA	-0.147450168242002	0.296338129801361	0.640464903030356	0.0512815295931095		
Brain - Cerebellar Hemisphere	172	-0.201900959809133	0.00790717624405146	-0.00508377575272501	-0.0130957383912612	0.00299323022164244	0.218401727605758	NA	0.0160421028155153	0.419337827470655	0.0332836263813075	0.200877591942197		
