row	col	stype	detail	dilution	standard_curve
A	1	standard	5	1	Ab 1:4 norm strep-HRP
A	2	standard	5	1	Ab 1:4 norm strep-HRP
A	3	standard	5	1	Ab 1:8 norm strep-HRP
A	4	standard	5	1	Ab 1:8 norm strep-HRP
A	5	standard	5	1	Ab 1:16 norm strep-HRP
A	6	standard	5	1	Ab 1:16 norm strep-HRP
A	7	standard	5	1	Ab 1:4 half strep-HRP
A	8	standard	5	1	Ab 1:8 half strep-HRP
A	9	standard	5	1	Ab 1:4 half strep-HRP
A	10	standard	5	1	Ab 1:8 half strep-HRP
A	11	standard	5	1	Ab 1:16 half strep-HRP
A	12	standard	5	1	Ab 1:16 half strep-HRP
B	1	standard	2.78	1	Ab 1:4 norm strep-HRP
B	2	standard	2.78	1	Ab 1:4 norm strep-HRP
B	3	standard	2.78	1	Ab 1:8 norm strep-HRP
B	4	standard	2.78	1	Ab 1:8 norm strep-HRP
B	5	standard	2.78	1	Ab 1:16 norm strep-HRP
B	6	standard	2.78	1	Ab 1:16 norm strep-HRP
B	7	standard	2.78	1	Ab 1:4 half strep-HRP
B	8	standard	2.78	1	Ab 1:8 half strep-HRP
B	9	standard	2.78	1	Ab 1:4 half strep-HRP
B	10	standard	2.78	1	Ab 1:8 half strep-HRP
B	11	standard	2.78	1	Ab 1:16 half strep-HRP
B	12	standard	2.78	1	Ab 1:16 half strep-HRP
C	1	standard	1.54	1	Ab 1:4 norm strep-HRP
C	2	standard	1.54	1	Ab 1:4 norm strep-HRP
C	3	standard	1.54	1	Ab 1:8 norm strep-HRP
C	4	standard	1.54	1	Ab 1:8 norm strep-HRP
C	5	standard	1.54	1	Ab 1:16 norm strep-HRP
C	6	standard	1.54	1	Ab 1:16 norm strep-HRP
C	7	standard	1.54	1	Ab 1:4 half strep-HRP
C	8	standard	1.54	1	Ab 1:8 half strep-HRP
C	9	standard	1.54	1	Ab 1:4 half strep-HRP
C	10	standard	1.54	1	Ab 1:8 half strep-HRP
C	11	standard	1.54	1	Ab 1:16 half strep-HRP
C	12	standard	1.54	1	Ab 1:16 half strep-HRP
D	1	standard	0.858	1	Ab 1:4 norm strep-HRP
D	2	standard	0.858	1	Ab 1:4 norm strep-HRP
D	3	standard	0.858	1	Ab 1:8 norm strep-HRP
D	4	standard	0.858	1	Ab 1:8 norm strep-HRP
D	5	standard	0.858	1	Ab 1:16 norm strep-HRP
D	6	standard	0.858	1	Ab 1:16 norm strep-HRP
D	7	standard	0.858	1	Ab 1:4 half strep-HRP
D	8	standard	0.858	1	Ab 1:8 half strep-HRP
D	9	standard	0.858	1	Ab 1:4 half strep-HRP
D	10	standard	0.858	1	Ab 1:8 half strep-HRP
D	11	standard	0.858	1	Ab 1:16 half strep-HRP
D	12	standard	0.858	1	Ab 1:16 half strep-HRP
E	1	standard	0.476	1	Ab 1:4 norm strep-HRP
E	2	standard	0.476	1	Ab 1:4 norm strep-HRP
E	3	standard	0.476	1	Ab 1:8 norm strep-HRP
E	4	standard	0.476	1	Ab 1:8 norm strep-HRP
E	5	standard	0.476	1	Ab 1:16 norm strep-HRP
E	6	standard	0.476	1	Ab 1:16 norm strep-HRP
E	7	standard	0.476	1	Ab 1:4 half strep-HRP
E	8	standard	0.476	1	Ab 1:8 half strep-HRP
E	9	standard	0.476	1	Ab 1:4 half strep-HRP
E	10	standard	0.476	1	Ab 1:8 half strep-HRP
E	11	standard	0.476	1	Ab 1:16 half strep-HRP
E	12	standard	0.476	1	Ab 1:16 half strep-HRP
F	1	standard	0.265	1	Ab 1:4 norm strep-HRP
F	2	standard	0.265	1	Ab 1:4 norm strep-HRP
F	3	standard	0.265	1	Ab 1:8 norm strep-HRP
F	4	standard	0.265	1	Ab 1:8 norm strep-HRP
F	5	standard	0.265	1	Ab 1:16 norm strep-HRP
F	6	standard	0.265	1	Ab 1:16 norm strep-HRP
F	7	standard	0.265	1	Ab 1:4 half strep-HRP
F	8	standard	0.265	1	Ab 1:8 half strep-HRP
F	9	standard	0.265	1	Ab 1:4 half strep-HRP
F	10	standard	0.265	1	Ab 1:8 half strep-HRP
F	11	standard	0.265	1	Ab 1:16 half strep-HRP
F	12	standard	0.265	1	Ab 1:16 half strep-HRP
G	1	standard	0.148	1	Ab 1:4 norm strep-HRP
G	2	standard	0.148	1	Ab 1:4 norm strep-HRP
G	3	standard	0.148	1	Ab 1:8 norm strep-HRP
G	4	standard	0.148	1	Ab 1:8 norm strep-HRP
G	5	standard	0.148	1	Ab 1:16 norm strep-HRP
G	6	standard	0.148	1	Ab 1:16 norm strep-HRP
G	7	standard	0.148	1	Ab 1:4 half strep-HRP
G	8	standard	0.148	1	Ab 1:8 half strep-HRP
G	9	standard	0.148	1	Ab 1:4 half strep-HRP
G	10	standard	0.148	1	Ab 1:8 half strep-HRP
G	11	standard	0.148	1	Ab 1:16 half strep-HRP
G	12	standard	0.148	1	Ab 1:16 half strep-HRP
H	1	standard	0	1	Ab 1:4 norm strep-HRP
H	2	standard	0	1	Ab 1:4 norm strep-HRP
H	3	standard	0	1	Ab 1:8 norm strep-HRP
H	4	standard	0	1	Ab 1:8 norm strep-HRP
H	5	standard	0	1	Ab 1:16 norm strep-HRP
H	6	standard	0	1	Ab 1:16 norm strep-HRP
H	7	standard	0	1	Ab 1:4 half strep-HRP
H	8	standard	0	1	Ab 1:8 half strep-HRP
H	9	standard	0	1	Ab 1:4 half strep-HRP
H	10	standard	0	1	Ab 1:8 half strep-HRP
H	11	standard	0	1	Ab 1:16 half strep-HRP
H	12	standard	0	1	Ab 1:16 half strep-HRP
