row	col	stype	detail	dilution
A	1	standard	5	1
A	2	standard	5	1
A	3	sample	BH, 0.05% Tween-20	40
A	4	sample	BH, 0.05% Tween-20	40
A	5	sample	BH, 0.03% CHAPS	40
A	6	sample	BH, 0.03% CHAPS	40
A	7	sample	BH, 0.2% CHAPS	40
A	8	sample	BH, 0.2% CHAPS	40
A	9	sample	BH, RIPA	40
A	10	sample	BH, RIPA	40
A	11	sample	N2a PrP siRNA	10
A	12	sample	N2a PrP siRNA	10
B	1	standard	2.78	1
B	2	standard	2.78	1
B	3	sample	BH, 0.05% Tween-20	80
B	4	sample	BH, 0.05% Tween-20	80
B	5	sample	BH, 0.03% CHAPS	80
B	6	sample	BH, 0.03% CHAPS	80
B	7	sample	BH, 0.2% CHAPS	80
B	8	sample	BH, 0.2% CHAPS	80
B	9	sample	BH, RIPA	80
B	10	sample	BH, RIPA	80
B	11	sample	N2a NT-siRNA	10
B	12	sample	N2a NT-siRNA	10
C	1	standard	1.54	1
C	2	standard	1.54	1
C	3	sample	BH, 0.05% Tween-20	100
C	4	sample	BH, 0.05% Tween-20	100
C	5	sample	BH, 0.03% CHAPS	100
C	6	sample	BH, 0.03% CHAPS	100
C	7	sample	BH, 0.2% CHAPS	100
C	8	sample	BH, 0.2% CHAPS	100
C	9	sample	BH, RIPA	100
C	10	sample	BH, RIPA	100
C	11	sample	N2a No siRNA	10
C	12	sample	N2a No siRNA	10
D	1	standard	0.476	1
D	2	standard	0.476	1
D	3	sample	BH, 0.05% Tween-20	200
D	4	sample	BH, 0.05% Tween-20	200
D	5	sample	BH, 0.03% CHAPS	200
D	6	sample	BH, 0.03% CHAPS	200
D	7	sample	BH, 0.2% CHAPS	200
D	8	sample	BH, 0.2% CHAPS	200
D	9		BH, RIPA	200
D	10		BH, RIPA	200
D	11	sample	N2a PrP siRNA	40
D	12	sample	N2a PrP siRNA	40
E	1	standard	0.858	1
E	2	standard	0.858	1
E	3	sample	BH, 0.05% Tween-20	400
E	4	sample	BH, 0.05% Tween-20	400
E	5	sample	BH, 0.03% CHAPS	400
E	6	sample	BH, 0.03% CHAPS	400
E	7	sample	BH, 0.2% CHAPS	400
E	8	sample	BH, 0.2% CHAPS	400
E	9		BH, RIPA	400
E	10		BH, RIPA	400
E	11	sample	N2a NT-siRNA	40
E	12	sample	N2a NT-siRNA	40
F	1	standard	0.265	1
F	2	standard	0.265	1
F	3	sample	BH, 0.05% Tween-20	800
F	4	sample	BH, 0.05% Tween-20	800
F	5	sample	BH, 0.03% CHAPS	800
F	6	sample	BH, 0.03% CHAPS	800
F	7	sample	BH, 0.2% CHAPS	800
F	8	sample	BH, 0.2% CHAPS	800
F	9	sample	BH, RIPA	800
F	10	sample	BH, RIPA	800
F	11	sample	N2a No siRNA	40
F	12	sample	N2a No siRNA	40
G	1	standard	0.148	1
G	2	standard	0.148	1
G	3	sample	BH, 0.05% Tween-20	1600
G	4	sample	BH, 0.05% Tween-20	1600
G	5	sample	BH, 0.03% CHAPS	1600
G	6	sample	BH, 0.2% CHAPS	1600
G	7	sample	BH, 0.03% CHAPS	1600
G	8	sample	BH, 0.2% CHAPS	1600
G	9	sample	BH, RIPA	1600
G	10	sample	BH, RIPA	1600
G	11	sample	N2a PrP siRNA	160
G	12	sample	N2a PrP siRNA	160
H	1	standard	0	1
H	2	standard	0	1
H	3			
H	4			
H	5			
H	6			
H	7			
H	8			
H	9	sample	N2a No siRNA	160
H	10	sample	N2a No siRNA	160
H	11	sample	N2a NT-siRNA	160
H	12	sample	N2a NT-siRNA	160
