row	col	stype	detail	dilution	standard_curve		
A	1	standard	5	1	MoPrP16		
A	2	standard	5	1	MoPrP16		
A	3	standard	5	1	HuPrP5		
A	4	standard	5	1	HuPrP5		
A	5	sample	9-IPC	80	HuPrP5		
A	6	sample	9-IPC	80	HuPrP5		
A	7	sample	CSF 1922	80	HuPrP5		
A	8	sample	CSF 1922	80	HuPrP5		
A	9	sample	CSF 1847	80	HuPrP5		
A	10	sample	CSF 1847	80	HuPrP5		
A	11	sample	Mo Pos Hi QC	200	MoPrP16		
A	12	sample	Mo Pos Hi QC	200	MoPrP16		
B	1	standard	2	1	MoPrP16		
B	2	standard	2	1	MoPrP16		
B	3	standard	2	1	HuPrP5		
B	4	standard	2	1	HuPrP5		
B	5	sample	9-IPC	40	HuPrP5		
B	6	sample	9-IPC	40	HuPrP5		
B	7	sample	CSF 1922	40	HuPrP5		
B	8	sample	CSF 1922	40	HuPrP5		
B	9	sample	CSF 1847	40	HuPrP5		
B	10	sample	CSF 1847	40	HuPrP5		
B	11	sample	Mo Pos Mid QC	200	MoPrP16		
B	12	sample	Mo Pos Mid QC	200	MoPrP16		
C	1	standard	0.8	1	MoPrP16		
C	2	standard	0.8	1	MoPrP16		
C	3	standard	0.8	1	HuPrP5		
C	4	standard	0.8	1	HuPrP5		
C	5	sample	9-IPC	20	HuPrP5		
C	6	sample	9-IPC	20	HuPrP5		
C	7	sample	CSF 1922	20	HuPrP5		
C	8	sample	CSF 1922	20	HuPrP5		
C	9	sample	CSF 1847	20	HuPrP5		
C	10	sample	CSF 1847	20	HuPrP5		
C	11	sample	Mo Pos Lo QC	200	MoPrP16		
C	12	sample	Mo Pos Lo QC	200	MoPrP16		
D	1	standard	0.32	1	MoPrP16		
D	2	standard	0.32	1	MoPrP16		
D	3	standard	0.32	1	HuPrP5		
D	4	standard	0.32	1	HuPrP5		
D	5	sample	9-IPC	10	HuPrP5		
D	6	sample	9-IPC	10	HuPrP5		
D	7	sample	CSF 1922	10	HuPrP5		
D	8	sample	CSF 1922	10	HuPrP5		
D	9	sample	CSF 1847	10	HuPrP5		
D	10	sample	CSF 1847	10	HuPrP5		
D	11	sample	Mo Neg QC	200	MoPrP16		
D	12	sample	Mo Neg QC	200	MoPrP16		
E	1	standard	0.128	1	MoPrP16		
E	2	standard	0.128	1	MoPrP16		
E	3	standard	0.128	1	HuPrP5		
E	4	standard	0.128	1	HuPrP5		
E	5	sample	9-IPC	5	HuPrP5		
E	6	sample	9-IPC	5	HuPrP5		
E	7	sample	CSF 1922	5	HuPrP5		
E	8	sample	CSF 1922	5	HuPrP5		
E	9	sample	CSF 1847	5	HuPrP5		
E	10	sample	CSF 1847	5	HuPrP5		
F	1	standard	0.0512	1	MoPrP16		
F	2	standard	0.0512	1	MoPrP16		
F	3	standard	0.0512	1	HuPrP5		
F	4	standard	0.0512	1	HuPrP5		
G	1	standard	0.02048	1	MoPrP16		
G	2	standard	0.02048	1	MoPrP16		
G	3	standard	0.02048	1	HuPrP5		
G	4	standard	0.02048	1	HuPrP5		
H	1	standard	0	1	MoPrP16		
H	2	standard	0	1	MoPrP16		
H	3	standard	0	1	HuPrP5		
H	4	standard	0	1	HuPrP5		
