sample	standard_curve	ngml_av	se_mean	flag
A1	RaPrP50	19.066	0.866	
A2	RaPrP50	20.489	0.504	
A3	RaPrP50	21.593	0.229	
A4	RaPrP50	19.951	0.886	
A5	RaPrP50	19.902	1.079	
A6	RaPrP50	16.079	0.951	
B1	RaPrP50	16.047	0.702	
B2	RaPrP50	11.773	0.241	
B3	RaPrP50	13.82	0.544	
B4	RaPrP50	16.084	0.647	
B6	RaPrP50	15.409	0.308	
C1	RaPrP50	13.558	0.407	
C2	RaPrP50	12.088	0.16	
C3	RaPrP50	14.089	0.12	
C4	RaPrP50	11.238	0.344	
C5	RaPrP50	10.684	0.036	
C6	RaPrP50	13.146	0.075	
D1	RaPrP50	12.89	0.039	
D2	RaPrP50	10.965	0.008	
D3	RaPrP50	9.868	0.083	
D4/5	RaPrP50	10.635	0.236	
D6	RaPrP50	8.699	0.176	
Mo Neg QC	MoPrP16	13.483	0.587	
Mo Pos Hi QC	MoPrP16	131.845	7.153	
Mo Pos Lo QC	MoPrP16	29.108	0.199	
Mo Pos Mid QC	MoPrP16	72.797	1.824	
