Well Row,Well Col,CONTENT,Raw Data (450BP) 1,Raw Data (620BP) 1,V6
A,1,X1,1.0302,0.2385,
A,2,X2,1.2611,0.2282,
A,3,X3,1.3505,0.2316,
A,4,X4,1.3407,0.2307,
A,5,X5,0.3209,0.2182,
A,6,X6,0.3072,0.2173,
A,7,X7,0.3245,0.2207,
A,8,X8,0.3217,0.2136,
A,9,X9,0.2324,0.2097,
A,10,X10,0.2488,0.219,
A,11,X11,0.3584,0.2182,
A,12,X12,0.3426,0.2164,
B,1,X13,0.5379,0.2014,
B,2,X14,0.6541,0.2069,
B,3,X15,0.6767,0.2024,
B,4,X16,0.7116,0.2026,
B,5,X17,0.4497,0.2039,
B,6,X18,0.4171,0.1993,
B,7,X19,0.4303,0.1989,
B,8,X20,0.4378,0.2008,
B,9,X21,0.2445,0.1907,
B,10,X22,0.2523,0.1905,
B,11,X23,0.2627,0.1947,
B,12,X24,0.2431,0.1867,
C,1,X25,0.3253,0.1934,
C,2,X26,0.3612,0.1999,
C,3,X27,0.3808,0.2003,
C,4,X28,0.3868,0.2043,
C,5,X29,0.7045,0.2026,
C,6,X30,0.7018,0.2053,
C,7,X31,0.6947,0.2058,
C,8,X32,0.722,0.2066,
C,9,X33,0.3048,0.1964,
C,10,X34,0.324,0.1993,
C,11,X35,0.2017,0.1916,
C,12,X36,0.1934,0.1904,
D,1,X37,0.2537,0.1968,
D,2,X38,0.2535,0.1999,
D,3,X39,0.2742,0.1969,
D,4,X40,0.276,0.2041,
D,5,X41,1.1111,0.2046,
D,6,X42,1.1376,0.2035,
D,7,X43,1.1447,0.2076,
D,8,X44,1.1694,0.2095,
D,9,X45,0.4381,0.1967,
D,10,X46,0.45,0.1973,
D,11,X47,0.2157,0.2159,
D,12,X48,0.1913,0.1892,
E,1,X49,0.2082,0.1852,
E,2,X50,0.2171,0.1952,
E,3,X51,0.2353,0.1912,
E,4,X52,0.209,0.1888,
E,5,X53,1.7239,0.2053,
E,6,X54,1.7591,0.2081,
E,7,X55,1.6881,0.2077,
E,8,X56,1.6419,0.2083,
E,9,X57,0.7626,0.1918,
E,10,X58,0.7738,0.1934,
E,11,X59,0.193,0.1817,
E,12,X60,0.1873,0.1795,
F,1,X61,0.1792,0.1716,
F,2,X62,0.1773,0.1737,
F,3,X63,0.1825,0.1699,
F,4,X64,0.1864,0.1716,
F,5,X65,0.181,0.1676,
F,6,X66,0.1843,0.1692,
F,7,X67,0.1949,0.1714,
F,8,X68,0.1768,0.1696,
F,9,X69,0.1706,0.1638,
F,10,X70,0.1903,0.1655,
F,11,X71,0.1745,0.1634,
F,12,X72,0.1864,0.1658,
G,1,X73,0.1653,0.1635,
G,2,X74,0.1658,0.1672,
G,3,X75,0.1692,0.1656,
G,4,X76,0.1754,0.1685,
G,5,X77,0.1753,0.1663,
G,6,X78,0.1895,0.1722,
G,7,X79,0.1728,0.165,
G,8,X80,0.1813,0.1726,
G,9,X81,0.1795,0.1672,
G,10,X82,0.1781,0.1644,
G,11,X83,0.1672,0.1602,
G,12,X84,0.1748,0.1594,
H,1,X85,0.1773,0.1754,
H,2,X86,0.1706,0.1736,
H,3,X87,0.1807,0.173,
H,4,X88,0.1781,0.1697,
H,5,X89,0.2123,0.1964,
H,6,X90,0.1836,0.1727,
H,7,X91,0.1843,0.1681,
H,8,X92,0.1753,0.1694,
H,9,X93,0.1844,0.1671,
H,10,X94,0.1804,0.1646,
H,11,X95,0.1836,0.1655,
H,12,X96,0.1684,0.1608,
