Plate information 
Plate,Repeat,Barcode,Inside temperature at start,Inside temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",25.8,25.75,23.8,23.7,Meas A,0,0,De=1st Ex=Btm Em=N/A,1,12/21/2021 5:19:05 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,Meas A,0,287552,98,00:00:00.000,De=1st Ex=Btm Em=N/A,

Results for Meas A -  (A)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,2.2920,2.2100,0.5700,0.6030,0.6040,0.5730,0.5410,0.5490,0.5200,0.4850,0.5160,0.4560,
B,1.4000,1.3320,0.4340,0.4380,0.4310,0.4070,0.3790,0.3930,0.3880,0.3520,0.2860,0.2720,
C,0.6110,0.6480,0.5910,0.6130,0.5000,0.4700,0.5660,0.5640,0.6120,0.5560,0.1270,0.1290,
D,0.2850,0.2920,0.4730,0.4820,0.3500,0.3640,0.5040,0.4680,0.3560,0.3460,0.0940,0.0970,
E,0.1550,0.1620,0.3370,0.3470,0.3610,0.3840,0.3460,0.3280,0.3300,0.3060,0.5080,0.4910,
F,0.1190,0.1240,0.3220,0.2990,0.3740,0.3890,0.3960,0.3890,0.2780,0.2640,0.3680,0.3980,
G,0.0950,0.1000,0.2640,0.2560,0.2310,0.2320,0.2410,0.2250,0.2020,0.1910,0.4850,0.4790,
H,0.0960,0.0850,0.2840,0.2810,0.2130,0.2150,0.2530,0.2580,0.2360,0.2270,0.2820,0.2950,

Plate information 
Plate,Repeat,Barcode,Inside temperature at start,Inside temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",25.8,25.75,23.8,23.7,Meas B,0,0,De=1st Ex=Btm Em=N/A,1,12/21/2021 5:19:05 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,Meas B,0,61779,10,00:00:00.000,De=1st Ex=Btm Em=N/A,

Results for Meas B -  (A)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,0.0640,0.0630,0.0480,0.0470,0.0450,0.0450,0.0410,0.0430,0.0480,0.0410,0.0410,0.0400,
B,0.0530,0.0560,0.0560,0.0480,0.0400,0.0380,0.0350,0.0350,0.0370,0.0370,0.0360,0.0380,
C,0.0490,0.0470,0.0490,0.0450,0.0440,0.0420,0.0430,0.0440,0.0480,0.0420,0.0370,0.0370,
D,0.0520,0.0420,0.0410,0.0420,0.0420,0.0400,0.0390,0.0380,0.0380,0.0390,0.0340,0.0370,
E,0.0380,0.0430,0.0430,0.0390,0.0410,0.0430,0.0460,0.0380,0.0410,0.0400,0.0540,0.0420,
F,0.0450,0.0470,0.0400,0.0340,0.0360,0.0460,0.0410,0.0390,0.0370,0.0340,0.0360,0.0400,
G,0.0380,0.0430,0.0400,0.0380,0.0400,0.0390,0.0370,0.0370,0.0380,0.0380,0.0420,0.0410,
H,0.0500,0.0390,0.0430,0.0410,0.0390,0.0400,0.0420,0.0390,0.0390,0.0380,0.0400,0.0380,


Basic assay information 
Assay ID: ,,,,2596
Assay Started: ,,,,12/21/2021 5:17:27 PM
Assay Finished: ,,,,12/21/2021 5:19:33 PM
Assay Exported: ,,,,12/23/2021 12:51:37 PM
Assay Started By: ,,,,N/A
Protocol ID: ,,,,100194
Protocol Name: ,,,,Vallabh/Minikel-csELISA read
Serial#: ,,,,="23000584"



Protocol information
Protocol:
Protocol name,,,,Vallabh/Minikel-csELISA read
Number of assay repeats,,,,1
Start assay repeat each,,,,N/A
Number of plate repeats,,,,1
Start plate repeat each,,,,N/A
Mode of measurement,,,,By Rows  bi-directional
Rotated plate,,,,No
Soft move,,,,No
Protocol notes,,,, 

Plate type:
Name of the plate type,,,,96 General
Number of rows,,,,8
Number of columns,,,,12
Number of the wells in the plate,,,,96
Height of the plate,,,,14.35 mm
Diameter of the well,,,,6.5 mm
Volume of the well,,,,300 µl

Coordinates of corners:
96 General
14.38 mm x------------------------------------------------------ x 113.38 mm
11.24 mm                                                           11.24 mm

14.38 mm x------------------------------------------------------ x 113.38 mm
74.24 mm                                                           74.24 mm

Platemap:
Plate,,,,1

,01,02,03,04,05,06,07,08,09,10,11,12,
A,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
B,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
C,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
D,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
E,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
F,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
G,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
H,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 

 - - Undefined

Calculations:
No calculations.

Auto export parameters:
Export format,,,,Plate5
Picture,,,,No
Add plate number to the file name,,,,Yes
Each plate to separate file,,,,No
Field separator to use,,,,System
File name format,,,,E:\csELISA-065.csv
Exported data,,,,MeasA:Result MeasB:Result

Operations:
Plate 1
  Shake
    Duration,,,,5 s
    Speed,,,,60
    Diameter,,,,3 mm
    Shake mode,,,,Linear
    Plate location,,,,Inside
    First assay/plate repeat affected,,,,1
    Last assay/plate repeat affected,,,,1
  Measurement
    Meas,,,,A
    Tech,,,,Absorbance
  Measurement
    Meas,,,,B
    Tech,,,,Absorbance

Measurements:
Meas ,,,,A
Exc. filter,,,,N/A
Excitation wavelength,,,,450 nm
Measurement height,,,,7.5 mm
Number of flashes,,,,100
Number of flashes integrated,,,,7
Flash power,,,,100 %
Excitation light,,,,100%
Reference excitation light,,,,100%
Reference AD gain,,,,1
Reference signal,,,,62144
Last edited,,,,6/28/2021 3:46:08 PM
Last edited by,,,,EnSpire
Factory preset,,,,No

Meas ,,,,B
Exc. filter,,,,N/A
Excitation wavelength,,,,630 nm
Measurement height,,,,7.5 mm
Number of flashes,,,,10
Number of flashes integrated,,,,10
Flash power,,,,100 %
Excitation light,,,,100%
Reference excitation light,,,,100%
Reference AD gain,,,,1
Reference signal,,,,11356
