Chrom.1,,Chrom.1,,,Chrom.1,,Chrom.1,
UV,,Conc B,,,Fraction,,"UV_CUT_TEMP@100,BASEM (1)",
min,mAU,min,%,,min,Fraction,min,mAU
0.001667,0,0.016667,0,,0.091667,1.A.1,0.028333,-0.009418
0.003333,0,0.033333,0,,8.55,1.A.2,0.03,-0.004118
0.005,0,0.05,0,,14.981667,1.A.3,0.031667,-0.003457
0.006667,0,0.066667,0,,21.129999,1.B.1,0.033333,-0.004545
0.008333,0,0.083333,0,,29.466667,1.B.2,0.035,-0.004098
0.01,0,0.1,0,,37.803333,1.B.3,0.036667,-0.005722
0.011667,0,0.116667,0.001018,,43.529999,Waste(Frac),0.038333,-0.005677
0.013333,0,0.133333,0.004806,,51.994999,1.A.2,0.04,-0.006869
0.015,0,0.15,0.011159,,60.334999,1.A.3,0.041667,-0.00754
0.016667,0,0.166667,0.020104,,60.876667,Waste(Frac),0.043333,-0.001997
0.018333,0,0.183333,0.031585,,,,0.045,0.005975
0.02,0,0.2,0.045672,,,,0.046667,0.010908
0.021667,0.000402,0.216667,0.062319,,,,0.048333,0.009805
0.023333,-0.000969,0.233333,0.081548,,,,0.05,0.008702
0.025,-0.002503,0.25,0.103326,,,,0.051667,0.007555
0.026667,-0.002369,0.266667,0.127677,,,,0.053333,0.006318
0.028333,-0.002161,0.283333,0.154618,,,,0.055,0.005245
0.03,-0.003263,0.3,0.184099,,,,0.056667,0.003055
0.031667,-0.003457,0.316667,0.216159,,,,0.058333,0.000477
0.033333,-0.004545,0.333333,0.25078,,,,0.06,-0.001177
0.035,-0.004098,0.35,0.28757,,,,0.061667,-0.003055
0.036667,-0.005722,0.366667,0.324567,,,,0.063333,-0.00298
0.038333,-0.005677,0.383333,0.361584,,,,0.065,-0.001445
0.04,-0.006869,0.4,0.3986,,,,0.066667,-0.001818
0.041667,-0.00754,0.416667,0.43562,,,,0.068333,-0.002384
0.043333,-0.001997,0.433333,0.47262,,,,0.07,-0.004426
0.045,0.005975,0.45,0.509595,,,,0.071667,-0.005439
0.046667,0.010908,0.466667,0.546621,,,,0.073333,-0.006959
0.048333,0.009805,0.483333,0.583631,,,,0.075,-0.006288
0.05,0.008702,0.5,0.620644,,,,0.076667,-0.008598
0.051667,0.007555,0.516667,0.657654,,,,0.078333,-0.008062
0.053333,0.006318,0.533333,0.694662,,,,0.08,-0.009134
0.055,0.005245,0.55,0.731685,,,,0.081667,-0.009418
0.056667,0.003055,0.566667,0.768674,,,,0.083333,-0.009596
0.058333,0.000477,0.583333,0.805688,,,,0.085,-0.014514
0.06,-0.001177,0.6,0.842706,,,,0.086667,-0.01812
0.061667,-0.003055,0.616667,0.879713,,,,0.088333,-0.013307
0.063333,-0.00298,0.633333,0.916728,,,,0.09,0.000566
0.065,-0.001445,0.65,0.953749,,,,0.091667,0.01581
0.066667,-0.001818,0.666667,0.990754,,,,0.093333,0.037178
0.068333,-0.002384,0.683333,1.027735,,,,0.095,0.06552
0.07,-0.004426,0.7,1.064758,,,,0.096667,0.097156
0.071667,-0.005439,0.716667,1.101772,,,,0.098333,0.142723
0.073333,-0.006959,0.733333,1.138796,,,,0.1,0.184059
0.075,-0.006288,0.75,1.175799,,,,0.101667,0.215337
0.076667,-0.008598,0.766667,1.212815,,,,0.103333,0.235801
0.078333,-0.008062,0.783333,1.249812,,,,0.105,0.241924
0.08,-0.009134,0.8,1.286832,,,,0.106667,0.248048
0.081667,-0.009418,0.816667,1.32384,,,,0.108333,0.254172
0.083333,-0.009596,0.833333,1.360857,,,,0.11,0.260296
0.085,-0.014514,0.85,1.397875,,,,0.111667,0.266419
0.086667,-0.01812,0.866667,1.434882,,,,0.113333,0.272186
0.088333,-0.013307,0.883333,1.471879,,,,0.115,0.277953
0.09,0.000566,0.9,1.508868,,,,0.116667,0.28372
0.091667,0.01581,0.916667,1.545887,,,,0.118333,0.289486
0.093333,0.037178,0.933333,1.582899,,,,0.12,0.295253
0.095,0.06552,0.95,1.619927,,,,0.121667,0.30102
0.096667,0.097156,0.966667,1.656942,,,,0.123333,0.306786
0.098333,0.142723,0.983333,1.693975,,,,0.125,0.312553
0.1,0.184059,1,1.730956,,,,0.126667,0.31832
0.101667,0.215337,1.016667,1.76797,,,,0.128333,0.324087
0.103333,0.244543,1.033333,1.804982,,,,0.13,0.329134
0.105,0.272885,1.05,1.842003,,,,0.131667,0.334182
0.106667,0.302017,1.066667,1.879009,,,,0.133333,0.339229
0.108333,0.334054,1.083333,1.916016,,,,0.135,0.344277
0.11,0.365198,1.1,1.953015,,,,0.136667,0.349324
0.111667,0.404641,1.116667,1.990016,,,,0.138333,0.354372
0.113333,0.447959,1.133333,2.027028,,,,0.14,0.359419
