tx	dose	animal	rna
1087171	100	A1	0.509875386
1087171	100	A2	0.605376838
1087171	100	A3	0.39763639
1087171	100	A4	0.421436321
1087171	100	A5	0.510441783
1087171	100	A6	
1087171	100	A7	0.960547061
1087171	100	A8	0.624291739
1087171	300	B1	0.25792232
1087171	300	B2	0.286194319
1087171	300	B3	0.268946329
1087171	300	B4	0.557714521
1087171	300	B5	0.198657799
1087171	300	B6	
1087171	300	B7	0.370522588
1087171	300	B8	0.31895193
1087171	400	C1	0.355837602
1087171	400	C2	0.4023957
1087171	400	C3	0.425018442
1087171	400	C4	0.362119508
1087171	400	C5	0.252624904
1087171	400	C6	0.247707699
1087171	400	C7	0.48329365
1087171	400	C8	0.252224173
PBS	0	D1	0.970228236
PBS	0	D2	0.823042846
PBS	0	D3	0.930018411
PBS	0	D4	1.55530012
PBS	0	D5	0.676056547
PBS	0	D6	1.637266761
PBS	0	D7	0.649077285
PBS	0	D8	0.759009795
