animal	tx	dose	rna
A1	PBS	0	1.115669347
A2	PBS	0	1.053054133
A3	PBS	0	0.901663471
B1	1087171	30	0.955879611
B2	1087171	30	0.917236523
B3	1087171	30	0.864761763
C1	1087171	100	1.005604616
C2	1087171	100	0.631335126
C3	1087171	100	0.861606629
D1	1087171	300	0.536911214
D2	1087171	300	0.545903223
D3	1087171	300	0.517993558
E1	1087171	500	0.445622046
E2	1087171	500	0.477504375
E3	1087171	500	0.65778578
F1	PBS	0	0.903826551
F2	PBS	0	1.257988352
F3	PBS	0	0.767798147
G1	1087171	30	0.926978026
G2	1087171	30	0.920784672
G3	1087171	30	0.964768741
H1	1087171	100	0.692468746
H2	1087171	100	0.66032141
H3	1087171	100	0.633514339
I1	1087171	300	0.439327366
I2	1087171	300	0.484220335
I3	1087171	300	0.407747147
J1	1087171	500	0.563912551
J2	1087171	500	0.387913667
J3	1087171	500	0.373842675
